@RELATION discharge
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE discharge NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE hospital NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE care NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE discharged NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE acute NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE length NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE stay NUMERIC
@ATTRIBUTE therapy NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE heart NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE cardiac NUMERIC
@ATTRIBUTE ace NUMERIC
@ATTRIBUTE home NUMERIC
@ATTRIBUTE trauma NUMERIC
@ATTRIBUTE surgical NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE mortality NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE postoperative NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE admitted NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE medical NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE preterm NUMERIC
@ATTRIBUTE rates NUMERIC
@ATTRIBUTE infection NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE she NUMERIC
@ATTRIBUTE women NUMERIC
@ATTRIBUTE myocardial NUMERIC
@ATTRIBUTE national NUMERIC
@ATTRIBUTE outpatient NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE following NUMERIC
@ATTRIBUTE surgery NUMERIC
@ATTRIBUTE inhibitor NUMERIC
@ATTRIBUTE inpatient NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE cases NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE health NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE follow NUMERIC
@ATTRIBUTE infants NUMERIC
@ATTRIBUTE abdominal NUMERIC
@ATTRIBUTE outcome NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE hip NUMERIC
@ATTRIBUTE emergency NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE icu NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE infarction NUMERIC
@ATTRIBUTE ventricular NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE wound NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE onset NUMERIC
@ATTRIBUTE prospective NUMERIC
@ATTRIBUTE functional NUMERIC
@ATTRIBUTE term NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE versus NUMERIC
@ATTRIBUTE information NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE physical NUMERIC
@ATTRIBUTE intensive NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE hearing NUMERIC
@ATTRIBUTE failure NUMERIC
@ATTRIBUTE community NUMERIC
@ATTRIBUTE life NUMERIC
@ATTRIBUTE stroke NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE given NUMERIC
@ATTRIBUTE received NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE quality NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE service NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE assessment NUMERIC
@ATTRIBUTE birth NUMERIC
@ATTRIBUTE severe NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE should NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE motor NUMERIC
@ATTRIBUTE status NUMERIC
@ATTRIBUTE fim NUMERIC
@ATTRIBUTE loss NUMERIC
@ATTRIBUTE randomized NUMERIC
@ATTRIBUTE hospitalization NUMERIC
@ATTRIBUTE admission NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE rehabilitation NUMERIC
@ATTRIBUTE prior NUMERIC
@ATTRIBUTE underwent NUMERIC
@ATTRIBUTE support NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE weeks NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE survival NUMERIC
@ATTRIBUTE required NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE routine NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE survey NUMERIC
@ATTRIBUTE incidence NUMERIC
@ATTRIBUTE pulmonary NUMERIC
@ATTRIBUTE major NUMERIC
@ATTRIBUTE five NUMERIC
@ATTRIBUTE amputations NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE period NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE injury NUMERIC
@ATTRIBUTE out NUMERIC
@ATTRIBUTE surveillance NUMERIC
@ATTRIBUTE older NUMERIC
@ATTRIBUTE amputation NUMERIC
@ATTRIBUTE died NUMERIC
@ATTRIBUTE experience NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE post NUMERIC
@ATTRIBUTE survivors NUMERIC
@ATTRIBUTE number NUMERIC
@ATTRIBUTE admissions NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE research NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE unit NUMERIC
@ATTRIBUTE diseases NUMERIC
@ATTRIBUTE evaluated NUMERIC
@ATTRIBUTE percentage NUMERIC
@ATTRIBUTE months NUMERIC
@ATTRIBUTE history NUMERIC
@ATTRIBUTE inhibitors NUMERIC
@ATTRIBUTE improved NUMERIC
@ATTRIBUTE some NUMERIC
@ATTRIBUTE anthralin NUMERIC
@ATTRIBUTE bilirubin NUMERIC
@ATTRIBUTE activities NUMERIC
@ATTRIBUTE initial NUMERIC
@ATTRIBUTE frequency NUMERIC
@ATTRIBUTE sedation NUMERIC
@ATTRIBUTE geriatric NUMERIC
@ATTRIBUTE developed NUMERIC
@ATTRIBUTE degrees NUMERIC
@ATTRIBUTE conventional NUMERIC
@ATTRIBUTE jaundice NUMERIC
@ATTRIBUTE hours NUMERIC
@ATTRIBUTE her NUMERIC
@ATTRIBUTE scores NUMERIC
@ATTRIBUTE need NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE presence NUMERIC
@ATTRIBUTE ratio NUMERIC
@ATTRIBUTE needed NUMERIC
@ATTRIBUTE pain NUMERIC
@ATTRIBUTE greater NUMERIC
@ATTRIBUTE inositol NUMERIC
@ATTRIBUTE general NUMERIC
@ATTRIBUTE dependence NUMERIC
@ATTRIBUTE hospitals NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE recovery NUMERIC
@ATTRIBUTE charges NUMERIC
@ATTRIBUTE cost NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE case NUMERIC
@ATTRIBUTE living NUMERIC
@ATTRIBUTE aged NUMERIC
@ATTRIBUTE population NUMERIC
@ATTRIBUTE effective NUMERIC
@ATTRIBUTE followed NUMERIC
@ATTRIBUTE ecmo NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE further NUMERIC
@ATTRIBUTE disposition NUMERIC
@ATTRIBUTE evaluation NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE complications NUMERIC
@ATTRIBUTE 40 NUMERIC
@ATTRIBUTE likely NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9740520
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9445754
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9385906
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9458955
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9515096
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9380307
1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9685088
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9355357
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9628185
1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9522242
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9624727
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9653686
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9605043
1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9708461
