@RELATION fluid
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE fluid NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE concentrations NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE fluids NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE mm NUMERIC
@ATTRIBUTE wound NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE bal NUMERIC
@ATTRIBUTE alpha NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE ml NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE under NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE pulmonary NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE flow NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE concentration NUMERIC
@ATTRIBUTE tnf NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE csf NUMERIC
@ATTRIBUTE tubal NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE ii NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE lps NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE saliva NUMERIC
@ATTRIBUTE rats NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE healthy NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE specimens NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE cyst NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE ang NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE pelvic NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE conventional NUMERIC
@ATTRIBUTE amino NUMERIC
@ATTRIBUTE small NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE gm NUMERIC
@ATTRIBUTE detected NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE catheter NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE uptake NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE composition NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE vivo NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE inflammatory NUMERIC
@ATTRIBUTE macular NUMERIC
@ATTRIBUTE am NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE presence NUMERIC
@ATTRIBUTE oxide NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE necrosis NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE ethanol NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE il NUMERIC
@ATTRIBUTE space NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE bowel NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE mice NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE nitric NUMERIC
@ATTRIBUTE occurred NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE vitro NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE mediated NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE macrophages NUMERIC
@ATTRIBUTE healing NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE formation NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE five NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE studied NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE airway NUMERIC
@ATTRIBUTE alveolar NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE removal NUMERIC
@ATTRIBUTE developed NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE chronic NUMERIC
@ATTRIBUTE adhesion NUMERIC
@ATTRIBUTE secretion NUMERIC
@ATTRIBUTE increases NUMERIC
@ATTRIBUTE rectal NUMERIC
@ATTRIBUTE extraperitoneal NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE samples NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE inos NUMERIC
@ATTRIBUTE greater NUMERIC
@ATTRIBUTE extension NUMERIC
@ATTRIBUTE soluble NUMERIC
@ATTRIBUTE determined NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE approximately NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE et NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE following NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE angiotensin NUMERIC
@ATTRIBUTE injection NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE filled NUMERIC
@ATTRIBUTE vitreous NUMERIC
@ATTRIBUTE formononetin NUMERIC
@ATTRIBUTE method NUMERIC
@ATTRIBUTE hbd NUMERIC
@ATTRIBUTE paf NUMERIC
@ATTRIBUTE lung NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE shear NUMERIC
@ATTRIBUTE decrease NUMERIC
@ATTRIBUTE seen NUMERIC
@ATTRIBUTE igfbp NUMERIC
@ATTRIBUTE edema NUMERIC
@ATTRIBUTE conditions NUMERIC
@ATTRIBUTE animals NUMERIC
@ATTRIBUTE produced NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE vascular NUMERIC
@ATTRIBUTE approach NUMERIC
@ATTRIBUTE exposure NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE rat NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE head NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE 100 NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE enzyme NUMERIC
@ATTRIBUTE amount NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE given NUMERIC
@ATTRIBUTE new NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE solution NUMERIC
@ATTRIBUTE protease NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE venous NUMERIC
@ATTRIBUTE tested NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE radioimmunoassay NUMERIC
@ATTRIBUTE carotid NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE hiv NUMERIC
@ATTRIBUTE detection NUMERIC
@ATTRIBUTE achieved NUMERIC
@ATTRIBUTE important NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE culture NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE lavage NUMERIC
@ATTRIBUTE albumin NUMERIC
@ATTRIBUTE administration NUMERIC
@ATTRIBUTE virus NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE technique NUMERIC
@ATTRIBUTE elevated NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE drug NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE six NUMERIC
@ATTRIBUTE colon NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE receptor NUMERIC
@ATTRIBUTE tubes NUMERIC
@ATTRIBUTE transient NUMERIC
@ATTRIBUTE mrna NUMERIC
@ATTRIBUTE retroperitoneal NUMERIC
@ATTRIBUTE receptors NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE cultured NUMERIC
@ATTRIBUTE containing NUMERIC
@ATTRIBUTE some NUMERIC
@ATTRIBUTE surgery NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE exposed NUMERIC
@ATTRIBUTE 48 NUMERIC
@ATTRIBUTE lesions NUMERIC
@ATTRIBUTE intravenous NUMERIC
@ATTRIBUTE serine NUMERIC
@ATTRIBUTE aqueous NUMERIC
@ATTRIBUTE followed NUMERIC
@ATTRIBUTE active NUMERIC
@ATTRIBUTE visual NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE confirmed NUMERIC
@ATTRIBUTE membrane NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE drainage NUMERIC
@ATTRIBUTE times NUMERIC
@ATTRIBUTE 36 NUMERIC
@ATTRIBUTE because NUMERIC
@ATTRIBUTE re NUMERIC
@ATTRIBUTE activation NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE performance NUMERIC
@ATTRIBUTE tumors NUMERIC
@ATTRIBUTE lipid NUMERIC
@ATTRIBUTE water NUMERIC
@ATTRIBUTE capillary NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE examined NUMERIC
@ATTRIBUTE fallopian NUMERIC
@ATTRIBUTE ng NUMERIC
@ATTRIBUTE whereas NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE hemorrhage NUMERIC
@ATTRIBUTE antimicrobial NUMERIC
@ATTRIBUTE pancreatic NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE distribution NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE evaluate NUMERIC
@ATTRIBUTE postoperative NUMERIC
@ATTRIBUTE stimulated NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9487204
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9492336
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9493964
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9507453
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9737464
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9424948
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9370117
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9532255
1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9436683
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9350369
