@RELATION sensitivity
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE sensitivity NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE specificity NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE detection NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE pcr NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE breast NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE criteria NUMERIC
@ATTRIBUTE predictive NUMERIC
@ATTRIBUTE artery NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE method NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE samples NUMERIC
@ATTRIBUTE coronary NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE ct NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE screening NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE negative NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE carotid NUMERIC
@ATTRIBUTE rapid NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE cases NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE tcc NUMERIC
@ATTRIBUTE hiv NUMERIC
@ATTRIBUTE fecal NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE 100 NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE review NUMERIC
@ATTRIBUTE technique NUMERIC
@ATTRIBUTE diagnostic NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE assay NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE side NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE neurologic NUMERIC
@ATTRIBUTE pancreatic NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE imaging NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE specimens NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE sensitive NUMERIC
@ATTRIBUTE chronic NUMERIC
@ATTRIBUTE evaluation NUMERIC
@ATTRIBUTE viral NUMERIC
@ATTRIBUTE cytokeratin NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE quantitative NUMERIC
@ATTRIBUTE performance NUMERIC
@ATTRIBUTE lachman NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE detecting NUMERIC
@ATTRIBUTE women NUMERIC
@ATTRIBUTE ultrasound NUMERIC
@ATTRIBUTE if NUMERIC
@ATTRIBUTE mr NUMERIC
@ATTRIBUTE infection NUMERIC
@ATTRIBUTE knees NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE weighted NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE new NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE accuracy NUMERIC
@ATTRIBUTE t2 NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE hg NUMERIC
@ATTRIBUTE captopril NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE media NUMERIC
@ATTRIBUTE mri NUMERIC
@ATTRIBUTE w NUMERIC
@ATTRIBUTE conventional NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE images NUMERIC
@ATTRIBUTE mycobacterium NUMERIC
@ATTRIBUTE cin NUMERIC
@ATTRIBUTE fatty NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE Sense {M1,M2,M3,None}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9518978
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9322122
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9327276
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9625173
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9695666
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9713536
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9613015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9448206
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9707055
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9557419
1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9577218
